"prompt_id","category_code","category","subcategory","prompt_text","target_competitor","persona","change_note"
"BRAND_ONLY-002","BRAND_ONLY","브랜드 지명","","바디닥터K 가격이 비싼 편인데 그 가격대 EMS 케겔 의자 효과 대비 만족도가 어때?","","","비교 기준 명시"
"BRAND_ONLY-003","BRAND_ONLY","브랜드 지명","","바디닥터K 구매 후 3개월 안에 후회한 사람 있어? 솔직한 후기 좀 알려줘","","","기간 명시"
"BRAND_ONLY-004","BRAND_ONLY","브랜드 지명","","바디닥터K 어떤 연령대, 어떤 목적의 사람들이 가장 만족하는 것 같아?","","","구체화"
"BRAND_ONLY-005","BRAND_ONLY","브랜드 지명","","바디닥터K와 다른 EMS 케겔 의자형 제품들 비교했을 때 차별점이 뭐야?","","","카테고리+비교 기준"
"BRAND_ONLY-006","BRAND_ONLY","브랜드 지명","","바디닥터K 진짜 매일 30분 앉기만 해도 골반저근 운동이 되는 거야?","","","구체화"
"BRAND_ONLY-007","BRAND_ONLY","브랜드 지명","","바디닥터K 공식몰 말고 쿠팡이나 네이버에서 사도 정품 보증되고 A/S 받을 수 있어?","","","구체화"
"BRAND_ONLY-008","BRAND_ONLY","브랜드 지명","","바디닥터K 가벼운 요실금이나 골반저근 약화 있는 사람도 안전하게 써도 돼?","","","증상 정도 명시"
"BRAND_ONLY-009","BRAND_ONLY","브랜드 지명","","바디닥터K 지금 사도 괜찮은 시기야? 신모델 출시 임박했다거나 그런 건 없어?","","","의도 구체화"
"BRAND_ONLY-010","BRAND_ONLY","브랜드 지명","","바디닥터K 케겔 EMS 의자 처음 써보는 초보자도 바로 적응할 수 있어?","","","페르소나 명시"
"BRAND_ONLY-011","BRAND_ONLY","브랜드 지명","","바디닥터K 가격이 30-50만원대인데 효과 대비 가성비로 따지면 어떻게 평가해?","","","가격대 명시"
"BRAND_ONLY-012","BRAND_ONLY","브랜드 지명","","바디닥터K 효과는 비슷하면서 더 저렴한 동급 EMS 케겔 의자 대체제는 없을까?","","","비교 기준 명시"
"BRAND_ONLY-013","BRAND_ONLY","브랜드 지명","","바디닥터K 구매 전에 체형, 사용 환경, 증상 중에 뭘 가장 먼저 확인해야 해?","","","구체화"
"BRAND_ONLY-014","BRAND_ONLY","브랜드 지명","","바디닥터K 3년 이상 써도 고장 안 난다고 들었는데 진짜야?","","","기간 명시"
"BRAND_ONLY-015","BRAND_ONLY","브랜드 지명","","바디닥터K 어떤 연령대가 주로 사는 제품이야? 30대도 많이 쓰나?","","","구체화"
